"Date" "Open" "High" "Low" "Close" "Volume" "turnVolume"
2015-02-13  14.4                 14.49                  14.3                 14.46             133387516            1920460647
2015-02-16 14.45                 14.61                 14.41                 14.52              92371310            1343475258
2015-02-17  14.5                 14.54                 14.18                  14.3             126747641            1821660432
2015-02-25 14.29                 14.73                 14.19                 14.67             155956628            2262725598
2015-02-26  14.7                    15                 14.65                  14.7             145616495            2157812856
2015-02-27 14.78                 14.83                 14.41                 14.57             219237346            3192258937
2015-03-02 14.48                 14.51                 14.15                 14.17             174417640            2494347046
2015-03-03 14.33                 14.33                  14.1                 14.21             125920707            1787542456
2015-03-04 14.04                 14.11                 13.81                 13.91             173548564            2421469921
2015-03-05 13.92                 14.09                 13.91                 14.05             102177380            1432408218
2015-03-06 14.06                 14.87                  13.8                 14.68             316125124            4551189243
2015-03-09 14.49                 14.59                 14.23                 14.29             186295651            2677735377
2015-03-10 14.35                 14.73                 14.31                 14.45             168184844            2440618094
2015-03-11 14.75                 15.43                 14.59                 15.13             383002880            5746567418
2015-03-12 15.17                 15.55                 15.03                  15.1             281304228            4299112510
2015-03-13 15.27                 15.46                 15.04                 15.36             221860248            3387764840
2015-03-16 15.41                  15.5                 15.25                 15.41             239492456            3679377693
2015-03-17 15.41                 15.77                 15.35                 15.74             246058511            3827652102
2015-03-18 15.74                  15.9                 15.47                 15.68             234590051            3665620544
2015-03-19 15.67                 15.96                 15.33                 15.69             314995766            4929184044
2015-03-20 15.82                 15.89                 15.63                 15.79             246274047            3881893316
2015-03-23 15.78                  15.8                 15.54                 15.56             263719125            4123151625
2015-03-24 15.42                 15.52                 15.06                 15.16             216753837            3310645786
2015-03-25 15.08                 15.42                 14.98                 15.22             180799341            2750283751
2015-03-26 15.22                 15.43                  15.1                 15.26             154287074            2350890788
2015-03-27 15.42                 15.83                  15.3                 15.74             304476423            4760224446
2015-03-30 15.95                 16.41                 15.45                 15.57             402562174            6407352431
2015-03-31 15.59                 15.91                 15.55                 15.73             243966115            3830336787
2015-04-01  15.9                 15.98                 15.45                 15.66             238955501            3744579628
2015-04-02 17.23                 17.23                 17.23                 17.23              55307305             952944865
2015-04-13 17.97                 17.97                 17.37                 17.48             658547688           11626314056
2015-04-14 17.43                 18.29                 17.36                 17.87             437486039            7851853406
2015-04-15 17.87                 18.84                 17.76                 18.81             404986603            7365508017
2015-04-16 18.96                 19.45                 18.28                 18.32             543675523           10204446179
2015-04-17  18.7                  18.7                  17.6                 17.81             530851112            9699567902
2015-04-20 17.96                 18.18                 17.82                 18.17             263542425            4748971269
2015-04-21 18.47                  18.5                 18.06                 18.41             340839656            6247865406
2015-04-22  18.5                 18.67                 18.07                 18.17             273771769            5015812302
2015-04-23 17.88                  18.1                 17.41                  17.7             291759971            5184168791
2015-04-24  17.8                  18.6                  17.8                 18.44             407263594            7467652890
2015-04-27 18.42                 19.23                  18.1                 18.36             509425743            9496380532
2015-04-28  18.6                 18.86                 18.41                 18.48             373807969            6951256880
2015-04-29  18.5                  18.8                 18.19                 18.22             266457338            4920839628
2015-04-30 18.23                 18.35                 18.02                 18.16             213403798            3868502690
2015-05-04 18.05                  18.1                 17.21                 17.45             268345404            4737517934
2015-05-05  17.6                    18                  17.3                 17.54             261290546            4625262653
2015-05-06 17.51                 17.94                 17.41                 17.69             221369716            3929052880
2015-05-07 17.78                  18.1                  17.4                  17.7             218683284            3889491389
2015-05-08 17.51                 17.95                 17.34                 17.91             277208085            4867456332
2015-05-11 17.82                 17.94                 17.56                 17.77             223925207            3974051954
2015-05-12 17.87                 17.98                 17.43                 17.54             226209360            4015189339
2015-05-13 17.55                  17.8                  17.4                 17.49             184443821            3238528877
2015-05-14 17.42                 17.66                  16.9                 17.16             214743210            3714982873
2015-05-15 17.01                 17.18                 16.84                 16.85             159945727            2726764928
2015-05-18 16.85                 17.69                 16.79                 17.63             249232781            4332748808
2015-05-19 17.63                  18.6                 17.61                 18.04             354080266            6396818817
2015-05-20 18.24                 18.49                 17.91                 18.16             197171529            3591569695
2015-05-21 18.33                 18.71                 18.21                  18.7             311985398            5778315079
2015-05-22    19                 19.36                    19                 19.22             328933073            6306117215
2015-05-25 19.24                 19.39                 18.92                  19.2             282892923            5411636716
2015-05-26 19.21                 19.52                 18.82                 19.07             241168309            4623215527
2015-05-27 19.06                 19.13                 17.85                 17.92             292942371            5429786145
2015-05-28 17.97                  18.2                 17.45                 18.07             261551000            4689434586
2015-05-29 17.92                 18.99                 17.62                 18.83             280927296            5176270712
2015-06-01 18.82                 19.14                 18.53                 18.95             254037657            4801441405
2015-06-02    19                  19.6                 18.55                 19.45             358509084            6871298558
2015-06-03 19.44                 20.65                 18.92                 20.44             495979045            9920531339
2015-06-04 20.99                 21.21                 19.51                 19.99             377712452            7651487681
2015-06-05 20.04                  21.2                 19.61                 21.13             515964167           10671410155
2015-06-08 21.15                  21.7                 20.61                 20.83             366124464            7755194405
2015-06-09 20.51                 21.17                 20.36                 20.47             252920825            5237249134
2015-06-10 20.57                  20.8                 20.07                 20.36             227111582            4624733940
2015-06-11 20.58                 20.77                  20.1                 20.31             245179413            5002958661
2015-06-12 20.48                 20.73                 19.33                  19.5             321220962            6411293936
2015-06-15  19.5                  19.8                    19                 19.29             244464728            4736894174
2015-06-16 19.62                 19.77                 19.28                 19.43             252739372            4925319148
2015-06-17  19.2                 19.35                 18.73                 18.79             211448969            4014580593
2015-06-18    19                 19.09                  17.9                    18             250030785            4661570868
2015-06-19 18.06                    19                 17.72                 18.87             287932245            5301457853
2015-06-23 18.65                 19.08                  18.2                 18.93             273133786            5088379121
2015-06-24 19.49                 19.59                 18.31                 18.44             327306805            6251707185
2015-06-25 18.16                 18.68                 16.86                  17.4             393568223            7050535773
2015-06-26  17.7                 18.29                 16.13                 17.43             472020614            8278080236
2015-06-29  17.6                    19                  17.6                 18.72             491095674            8983116663
2015-06-30 18.33                 18.66                 18.06                 18.21             293674262            5395012371
2015-07-01 18.81                 19.18                 17.95                 18.65             524774699            9814648360
2015-07-02 17.98                 18.34                  16.9                 17.61             407322716            7192690830
2015-07-03    19                    19                 18.19                 18.82             814689731           15128545620
2015-07-06  18.6                  20.5                    18                 20.21             873948893           16915629392
2015-07-07    19                  20.8                 18.19                 18.41             943293199           18287188187
2015-07-08  17.5                 19.95                 16.85                    19             588626898           10872360062
2015-07-09 18.57                 20.25                  18.3                 18.99             707202252           13746919066
2015-07-10 18.51                 18.88                 18.04                 18.31             389268451            7160449096
2015-07-13 18.02                 18.18                 17.51                 17.87             355834793            6336410071
2015-07-14 17.78                 18.51                 17.71                 18.48             370764546            6703076873
2015-07-15 18.48                 18.49                  17.8                 18.15             227738299            4140280104
2015-07-16 18.35                 18.43                 18.01                 18.36             184194967            3358837909
2015-07-17 18.26                 18.49                 18.05                 18.44             191305543            3502137589
2015-07-20 18.27                  18.5                 18.01                 18.08             141710092            2577185047
